iter	RMSE
0	8.463740204
1	8.288696941
2	8.12704021
3	7.976652796
4	7.838831168
5	7.709176127
6	7.590368918
7	7.479228638
8	7.377382311
9	7.281484887
10	7.193223036
11	7.111988104
12	7.034119708
13	6.959406581
14	6.887214527
15	6.819592136
16	6.762200558
17	6.705610432
18	6.654299496
19	6.601007447
20	6.55572069
21	6.508777348
22	6.465417434
23	6.423448567
24	6.384801956
25	6.345111364
26	6.311412288
27	6.278370651
28	6.249003732
29	6.222636855
30	6.191453615
31	6.16332469
32	6.138256698
33	6.115727965
34	6.089063528
35	6.065054704
36	6.044472212
37	6.019790931
38	5.994416488
39	5.974790738
40	5.950415278
41	5.932056084
42	5.90945035
43	5.894385112
44	5.873066422
45	5.84996885
46	5.830129625
47	5.811327567
48	5.7979467
49	5.781647224
50	5.766523004
51	5.747817447
52	5.732336002
53	5.717885698
54	5.706859002
55	5.69143587
56	5.680494696
57	5.667372298
58	5.655535639
59	5.645411011
60	5.63536507
61	5.625089853
62	5.615181672
63	5.606355715
64	5.595711667
65	5.585791665
66	5.576089425
67	5.566982115
68	5.558033622
69	5.549297724
70	5.542730568
71	5.535272985
72	5.526927643
73	5.518776427
74	5.511294594
75	5.505426346
76	5.499714016
77	5.49206563
78	5.486524491
79	5.479225479
80	5.473236514
81	5.466006128
82	5.458633651
83	5.453336385
84	5.448043807
85	5.441037844
86	5.432893189
87	5.426655609
88	5.419999429
89	5.415069497
90	5.409979531
91	5.405825292
92	5.400691618
93	5.393688918
94	5.389297925
95	5.38479628
96	5.379613581
97	5.374754961
98	5.369402514
99	5.363717821
100	5.357786291
101	5.352276746
102	5.347201874
103	5.341878439
104	5.337767139
105	5.332911259
106	5.32721315
107	5.322332867
108	5.317534438
109	5.312305655
110	5.306936685
111	5.300582878
112	5.295570635
113	5.291113367
114	5.2850592
115	5.278194228
116	5.272657377
117	5.267523592
118	5.262368814
119	5.258292447
120	5.254241395
121	5.249714358
122	5.245507151
123	5.240254234
124	5.23671816
125	5.232768185
126	5.228962172
127	5.224995187
128	5.221598176
129	5.217704487
130	5.21317316
131	5.210116029
132	5.205521293
133	5.201943439
134	5.198455365
135	5.19482099
136	5.190936496
137	5.188012502
138	5.185107672
139	5.182084245
140	5.178804566
141	5.175107993
142	5.171663995
143	5.16851086
144	5.165471755
145	5.162439001
146	5.159742568
147	5.156367811
148	5.153810103
149	5.150944668
150	5.147307548
151	5.144950237
152	5.142671836
153	5.139873992
154	5.136781535
155	5.132950986
156	5.129076881
157	5.126824759
158	5.123641561
159	5.12090405
160	5.118812419
161	5.115979125
162	5.112871988
163	5.109532539
164	5.106861203
165	5.103560001
166	5.100663876
167	5.097343306
168	5.095109221
169	5.092908852
170	5.090006269
171	5.087645869
172	5.084811738
173	5.081852762
174	5.079053231
175	5.076202825
176	5.072964445
177	5.07044543
178	5.06722514
179	5.065338888
180	5.062922672
181	5.060627705
182	5.058173964
183	5.05631284
184	5.054468869
185	5.051983212
186	5.049514683
187	5.047148229
188	5.045075746
189	5.042774749
190	5.040142775
191	5.037258224
192	5.034816351
193	5.032109492
194	5.029849014
195	5.028301974
196	5.025597171
197	5.023230147
198	5.020406348
199	5.017768214
200	5.016090866
201	5.013817792
202	5.011642518
203	5.009904731
204	5.007802569
205	5.00540571
206	5.002723579
207	5.000856814
208	4.998649014
209	4.996830409
210	4.994861769
211	4.992808232
212	4.991024595
213	4.989282058
214	4.987362754
215	4.985332239
216	4.983456638
217	4.981838528
218	4.979616293
219	4.97626099
220	4.974379215
221	4.972056677
222	4.969949759
223	4.968577319
224	4.965771667
225	4.963623766
226	4.961289482
227	4.959252017
228	4.957181716
229	4.954734282
230	4.953054491
231	4.950490924
232	4.948574702
233	4.946996311
234	4.944610579
235	4.942919722
236	4.940528244
237	4.938786994
238	4.93744327
239	4.935534108
240	4.933567645
241	4.931408083
242	4.929915091
243	4.928182093
244	4.92680294
245	4.925495751
246	4.923723924
247	4.922605546
248	4.920407957
249	4.918761978
250	4.917021597
251	4.914824334
252	4.913329208
253	4.911954263
254	4.910126743
255	4.908014792
256	4.906564157
257	4.904819977
258	4.902899103
259	4.900635435
260	4.898946948
261	4.897596136
262	4.895964362
263	4.894451402
264	4.89287828
265	4.891331882
266	4.890171825
267	4.8886389
268	4.886948333
269	4.885521661
270	4.883677514
271	4.8821101
272	4.880777969
273	4.879075217
274	4.877858326
275	4.876567706
276	4.875439335
277	4.873842284
278	4.871978951
279	4.870548595
280	4.868683345
281	4.867468321
282	4.866400007
283	4.865341895
284	4.863822806
285	4.86215847
286	4.860715397
287	4.858667289
288	4.857015915
289	4.855670752
290	4.854156497
291	4.8527655
292	4.851630113
293	4.850472912
294	4.84879513
295	4.847544634
296	4.846371342
297	4.844782251
298	4.843567944
299	4.842082755
300	4.840727136
301	4.839444797
302	4.837710219
303	4.836322953
304	4.835000612
305	4.833728256
306	4.832311187
307	4.830769415
308	4.829645324
309	4.828379047
310	4.827335009
311	4.826173845
312	4.825195542
313	4.823930961
314	4.822783973
315	4.821545137
316	4.820205477
317	4.818465869
318	4.817481224
319	4.816482539
320	4.815528673
321	4.81402456
322	4.813199545
323	4.811991267
324	4.81095996
325	4.809791887
326	4.808802237
327	4.807311409
328	4.806481039
329	4.805047365
330	4.8042481
331	4.80311528
332	4.801831368
333	4.800952139
334	4.799870752
335	4.798785434
336	4.79753801
337	4.796420769
338	4.795560437
339	4.794551758
340	4.793516134
341	4.792086508
342	4.790977225
343	4.79000734
344	4.788469924
345	4.787355839
346	4.786574498
347	4.785295058
348	4.784365032
349	4.783347741
350	4.78195731
351	4.781085742
352	4.779747138
353	4.778638686
354	4.777783901
355	4.776319282
356	4.775488977
357	4.774509702
358	4.773189343
359	4.772310501
360	4.77103607
361	4.770108139
362	4.76900392
363	4.767702986
364	4.766325083
365	4.76547622
366	4.764747249
367	4.763699301
368	4.76248242
369	4.761429804
370	4.760248836
371	4.759258931
372	4.758444322
373	4.757638074
374	4.756676702
375	4.755418255
376	4.75433542
377	4.75332049
378	4.752479271
379	4.751598363
380	4.750764403
381	4.749698496
382	4.74852271
383	4.747118443
384	4.746324852
385	4.745180134
386	4.744444837
387	4.743471865
388	4.742641528
389	4.741360217
390	4.740386484
391	4.739773974
392	4.738695026
393	4.737848555
394	4.736963453
395	4.736049849
396	4.735216651
397	4.734144877
398	4.733433976
399	4.732584087
400	4.7317143
401	4.730352619
402	4.729007029
403	4.72797874
404	4.727141263
405	4.726327604
406	4.725287131
407	4.724465541
408	4.723400117
409	4.722403687
410	4.721531372
411	4.720608394
412	4.719671554
413	4.718901228
414	4.718074731
415	4.717167449
416	4.716359839
417	4.715567651
418	4.7150393
419	4.713911704
420	4.713143537
421	4.712327235
422	4.711135782
423	4.710474473
424	4.709445229
425	4.708382721
426	4.707596471
427	4.706480272
428	4.705855827
429	4.704892088
430	4.703720622
431	4.702884376
432	4.702143942
433	4.701084841
434	4.700299518
435	4.699681329
436	4.69870067
437	4.69803637
438	4.697005597
439	4.696041882
440	4.695165194
441	4.694172851
442	4.693299998
443	4.692529645
444	4.691694705
445	4.690970105
446	4.689958267
447	4.689326355
448	4.688496188
449	4.687506925
450	4.686541105
451	4.685764442
452	4.684909168
453	4.684406312
454	4.68364499
455	4.682680768
456	4.681990777
457	4.680930526
458	4.680353377
459	4.679587217
460	4.678892581
461	4.678009262
462	4.67676131
463	4.675850585
464	4.67519056
465	4.674486631
466	4.673618813
467	4.67291487
468	4.672197509
469	4.671318855
470	4.670530163
471	4.669918031
472	4.669166472
473	4.668047183
474	4.667409649
475	4.666613962
476	4.665804984
477	4.664899574
478	4.664259064
479	4.663559542
480	4.662906606
481	4.662037187
482	4.661497774
483	4.660535128
484	4.659784327
485	4.659018374
486	4.658043221
487	4.657226423
488	4.656146525
489	4.655613922
490	4.654786499
491	4.654100633
492	4.653502181
493	4.652740245
494	4.6520368
495	4.651142375
496	4.650325192
497	4.649610715
498	4.648712735
499	4.648140012
500	4.647584179
501	4.647005226
502	4.646070762
503	4.645569775
504	4.645008137
505	4.644305828
506	4.643537266
507	4.642892947
