iter	Passed	Remaining
0	329	3299160
1	605	3025222
2	876	2920651
3	1145	2863536
4	1419	2836751
5	1692	2819095
6	1959	2797404
7	2229	2784741
8	2501	2777240
9	2766	2763395
10	3030	2751938
11	3322	2765233
12	3620	2781031
13	3916	2793794
14	4230	2815879
15	4540	2833122
16	4818	2829303
17	5126	2843118
18	5405	2839548
19	5710	2849533
20	6015	2858455
21	6321	2867262
22	6626	2874637
23	6916	2874977
24	7223	2882033
25	7536	2891197
26	7841	2896317
27	8154	2904309
28	8459	2908761
29	8746	2906623
30	9046	2909215
31	9339	2909280
32	9665	2919145
33	9985	2926959
34	10268	2923476
35	10601	2934144
36	10910	2937871
37	11144	2921629
38	11475	2930937
39	11813	2941460
40	12131	2946684
41	12458	2953751
42	12785	2960502
43	13106	2965730
44	13422	2969429
45	13640	2951598
46	13864	2936078
47	14200	2944142
48	14507	2946119
49	14833	2951926
50	15057	2937352
51	15272	2921793
52	15593	2926531
53	15807	2911452
54	16133	2917211
55	16348	2903034
56	16568	2890187
57	16786	2877384
58	17001	2864610
59	17290	2864509
60	17513	2853599
61	17730	2842062
62	17965	2833730
63	18188	2823719
64	18483	2825091
65	18707	2815819
66	19020	2819857
67	19325	2822724
68	19635	2826038
69	19858	2817016
70	20086	2808976
71	20410	2814316
72	20707	2815971
73	21022	2819857
74	21317	2821006
75	21539	2812553
76	21762	2804493
77	22062	2806443
78	22325	2803672
79	22632	2806416
80	22937	2808852
81	23167	2802122
82	23436	2800257
83	23703	2798172
84	23945	2793214
85	24187	2788293
86	24431	2783746
87	24705	2782745
88	25020	2786247
89	25256	2780998
90	25548	2781978
91	25814	2780123
92	26091	2779442
93	26335	2775350
94	26625	2776018
95	26963	2781758
96	27195	2776457
97	27456	2774240
98	27732	2773531
99	28093	2781247
100	28325	2776174
101	28560	2771503
102	28775	2765009
103	29056	2764878
104	29314	2762519
105	29578	2760858
106	29828	2757863
107	30075	2754690
108	30353	2754394
109	30602	2751472
110	30844	2747969
111	31180	2752815
112	31453	2752002
113	31682	2747525
114	31929	2744517
115	32272	2749819
116	32597	2753516
117	32916	2756657
118	33252	2761094
119	33519	2759735
120	33761	2756448
121	34064	2758100
122	34400	2762397
123	34683	2762392
124	35005	2765404
125	35310	2767096
126	35559	2764403
127	35936	2771632
128	36280	2776178
129	36556	2775452
130	36839	2775333
131	37070	2771321
132	37394	2774206
133	37680	2774320
134	37970	2774653
135	38210	2771365
136	38522	2773361
137	38754	2769550
138	39011	2767577
139	39297	2767650
140	39605	2769292
141	39904	2770266
142	40173	2769158
143	40500	2772026
144	40738	2768810
145	41047	2770394
146	41325	2769907
147	41609	2769811
148	41851	2766968
149	42145	2767568
150	42474	2770390
151	42753	2769953
152	43058	2771234
153	43363	2772419
154	43638	2771744
155	43936	2772480
156	44227	2772814
157	44470	2770112
158	44796	2772589
159	45094	2773315
160	45364	2772320
161	45664	2773110
162	45998	2776000
163	46295	2776583
164	46602	2777764
165	46852	2775611
166	47150	2776234
167	47496	2779680
168	47756	2778086
169	48013	2776308
170	48293	2775903
171	48594	2776675
172	48890	2777134
173	49136	2774775
174	49416	2774358
175	49711	2774800
176	50006	2775244
177	50263	2773531
178	50534	2772639
179	50807	2771814
180	51048	2769328
181	51288	2766739
182	51607	2768494
183	51871	2767215
184	52151	2766852
185	52471	2768598
186	52732	2767204
187	53005	2766413
188	53288	2766204
189	53538	2764289
190	53855	2765824
191	54163	2766858
192	54496	2769158
193	54833	2771645
194	55060	2768545
195	55350	2768650
196	55627	2768119
197	55965	2770565
198	56273	2771561
199	56585	2772676
200	56818	2769981
201	57131	2771155
202	57397	2770047
203	57677	2769659
204	57953	2769063
205	58243	2769087
206	58565	2770697
207	58832	2769636
208	59153	2771177
209	59450	2771532
210	59712	2770244
211	59948	2767816
212	60263	2769008
213	60526	2767805
214	60767	2765609
215	61045	2765119
216	61280	2762720
217	61595	2763867
218	61895	2764375
219	62233	2766565
220	62519	2766395
221	62823	2767080
222	63179	2769998
223	63449	2769135
224	63752	2769704
225	64038	2769537
226	64398	2772553
227	64659	2771302
228	64965	2771944
229	65252	2771815
230	65539	2771651
231	65795	2770215
232	66080	2769979
233	66324	2768047
234	66641	2769166
235	66988	2771503
236	67323	2773332
237	67608	2773092
238	67920	2773957
239	68188	2772995
240	68483	2773174
241	68737	2771638
242	69036	2771971
243	69349	2772829
244	69683	2774524
245	69935	2772959
246	70243	2773631
247	70526	2773302
248	70809	2772930
249	71141	2774513
250	71421	2774043
251	71760	2775870
252	72059	2776141
253	72347	2775995
254	72642	2776074
255	72911	2775177
256	73234	2776341
257	73606	2779340
258	73913	2779874
259	74256	2781779
260	74543	2781534
261	74825	2781095
262	75106	2780653
263	75405	2780855
264	75717	2781548
265	76031	2782288
266	76335	2782662
267	76658	2783731
268	76951	2783691
269	77246	2783718
270	77580	2785162
271	77947	2787758
272	78191	2785969
273	78444	2784477
274	78722	2783922
275	78953	2781669
276	79259	2782097
277	79570	2782679
278	79869	2782825
279	80122	2781404
280	80414	2781305
281	80685	2780506
282	80998	2781123
283	81268	2780308
284	81605	2781749
285	81942	2783193
286	82219	2782566
287	82538	2783393
288	82803	2782358
